before,SEQ,after,,
OXFORD,18800,オックスフォード,,
MIDI,18900,ミディ,,
TRENCH COAT,19000,トレンチコート,,
PATCHED,19100,パッチ,,
NAPPPA,19200,,,
DETAILS,19300,,,
STONE ,19400,ストーン,,
FAILLE,19500,,,
TECHNO,19600,,,
VOILE,19700,,,
CROCHET,19800,クロシェ,,
RAINBOW,19900,レインボー,,
PATCH,20000,パッチ,,
TOP HANDLE,20100,バッグ,,
STRAWBERRY ,20200,ストロベリー,,
TWO TONE ,20300,2トーン,,
SHOES,20400,シューズ,,
GLITTER,20500,グリッター,,
PATENT,20600,パテント,,
VEIL,20700,ベール,,
SLINGBACK,20800,スリングバック,,
DERBY,20900,ダービー,,
PENDANT,21000,ペンダント,,
CHOKER,21100,チョーカー,,
CHARMEUSE,21200,,,
クレープDE CHINE,21300,,,
BUSTIER,21400,ビスチェ,,
MINI,21500,ミニ,,
FLATS,21600,フラットシューズ,,
NEOPRENE,21700,ネオプレン,,
CRYSTAL,21800,クリスタル,,
UMBRELLA,21900,傘,,
PASSPORT,22000,パスポート,,
HOLDER,22100,ケース,,
ボディCON,22200,ボディコン,,
JUMP,22300,ジャンプ,,
ROPE,22400,ロープ,,
HAT,22500,ハット 帽子,,
STRAW,22600,ストロー,,
CUFF,22700,カフス,,
NECKLACE,22800,ネックレス,,
METAL,22900,メタル,,
ORGANZA,23000,オーガンザ,,
SAFARI,23100,サファリ,,
BUCKET,23200,バケット,,
MIRROR,23300,ミラー,,
ROUNDED,23400,ラウンド,,
パッチES,23500,パッチ,,
POLISHED,23600,ポリッシュ,,
NECKレース,23700,ネックレス,,
DRAGON,23800,ドラゴン,,
POMPOM,23900,ポンポン,,
JEWELED,24000,ジュエル,,
サイズD,24100,サイズ,,
HEART,24200,ハート,,
ハートS,24300,ハート,,
HAND-PAINTED,24400,ハンドペイント,,
TIE DYE,24500,タイダイ,,
ANIMAL,24600,アニマル,,
BUTTERFLY,24700,バタフライ,,
SEQUINED,24800,スパンコール,,
MOHAIR,24900,モヘア,,
OVERSIZE,25000,オーバーサイズ,,
FIELD,25100,フィールド,,
TAPESTRY,25200,タペストリー,,
STARS,25300,スター,,
POLKA,25400,ポルカ,,
CROC,25500,クロコ,,
TASSEL,25600,タッセル,,
COIN PURSE,25700,小銭入れ,,
CHARM,25800,チャーム,,
バッグUETTE,25900,BAGUETTE,,
APPLIQUÉS,26000,アップリケ,,
LACES,26100,レース,,
ミラーED,26200,ミラー,,
BEADS,26300,ビーズ,,
DOWN,26400,ダウン,,
NYLON,26500,ナイロン,,
LIGHTWEIGHT,26600,軽量,,
ロングUE,26700,LONGUE,,
NYLON &  FLEECE,26800,切替素材,,
NYLON & HEAVY JERSEY ,26900,切替素材,,
NYLON & HEAVY ジャージ,27000,切替素材,,
TRIM,27100,トリム,,
SLIM FIT,27200,スリムフィット,,
ZIP-UP,27300,ジップアップ,,
SHORT SLEEVE,27400,半袖,,
BLAZER,27500,ブレザー,,
BUTTON,27600,ボタン,,
CARGO,27700,カーゴ,,
JOGGING,27800,ジョガー,,
MOTO,27900,ライダース,,
タイダイD,28000,タイダイ,,
SLEEVE,28100,スリーブ,,
HIGH TOP,28200,ハイカット,,
CASHMERE,28300,カシミヤ,,
SATIN,28400,サテン,,
PINストライプ,28500,ピンストライプ,,
ROBE,28600,ローブ,,
BEMBERG,28700,,,
PERFORATED,28800,,,
バッグGY,28900,バギー,,
DOUBLE,29000,ダブル,,
SHEER,29100,,,
REVERSIBLE,29200,リバーシブル,,
COAT,29300,コート,,
TURTLENECK,29400,タートルネック,,
WIDE LEG,29500,ワイドレッグ,,
PLATFORM,29600,プラットフォーム,,
GLOVES,29700,手袋,,
WRAP,29800,ラップ,,
MICRO,29900,マイクロ,,
SWIM,30000,スイム,,
HIGH WAISTED,30100,ハイウエスト,,
ONE PIECE,30200,ワンピース,,
PANELLED,30300,パネル,,
ANKLE,30400,アンクル,,
RUNNER,30500,ランナー,,
SOFT,30600,ソフト,,
HEAVY,30700,ヘビー,,
ROUND NECK,30800,ラウンドネック,,
BOXER,30900,ボクサー,,
PANELED,31000,パネル,,
TROUSERS,31100,パンツ,,
WEEKEND,31200,ボストン,,
ZIPPED,31300,ジップ,,
コートED,31400,コーティング,,
COMBAT,31500,コンバット,,
PADDED,31600,パッド,,
POCKET,31700,ポケット,,
SAROUEL ,31800,サルエル,,
LYCRA,31900,,,
TシャツS,32000,Tシャツ,,
RUBBER,32100,ラバー,,
WAXED,32200,ワックス,,
CHINO ,32300,チノ,,
HOODED,32400,フード,,
VINTAGE,32500,ヴィンテージ,,
TUXEDO,32600,タキシード,,
HERリングBONE,32700,,,
Flip-flops,32800,サンダル,,
Gilet,32900,ベスト ジレ,,
Beanie,33000,ビーニー,,
Classic,33100,クラシック,,
ZIP,33200,ジップ,,
Contrast,33300,コントラスト,,
Colour Block,33400,カラーブロック,,
Stripe,33500,ストライプ,,
Two-tone,33600,2トーン,,
ショーツleeved,33700,ショートスリーブ,,
Windbreaker,33800,ウインドブレーカー,,
ニットTED,33900,ニット,,
スリーブS,34000,スリーブ,,
CHECK,34100,チェック,,
Panel,34200,パネル,,
コントラストing,34300,コントラスト,,
hi-top,34400,ハイカット,,
ジャンプER,34500,ジャンパー,,
appliqué,34600,アップリケ,,
Crew neck,34700,クルーネック,,
LEMON,34800,レモン,,
drawstリング,34900,ドローストリング,,
beaded,35000,ビーズ,,
&,35100,,,
STRAP,35200,ストラップ,,
BUSINESS,35300,ビジネス,,
PEARLS,35400,パール,,
PEARL,35500,パール,,
ROUND,35600,ラウンド,,
CHAMBRAY,35700,,,
ラバーIZED,35800,ラバライズ,,
SHOPPING,35900,ショッピング,,
バッグS,36000,バッグ,,
MOSチノ,36100,,,
アニマルIER,36200,ANIMALIER,,
BIKINI,36300,ビキニ,,
BOTTOMS,36400,ボトムス,,
バックルS,36500,バックル,,
EYELET,36600,アイレット,,
PAISLEY,36700,ペイズリー,,
BRIM,36800,ブリム,,
PANAMA,36900,パナマ,,
EARリング,37000,イヤリング,,
RUNNING,37100,ランニング,,
FEDORA,37200,フェドゥーラ,,
SUSPENDERS,37300,サスペンダー,,
DETAIL,37400,,,
PLISSE,37500,,,
BIRDS,37600,バード,,
BIRD,37700,バード,,
LION,37800,ライオン,,
TRIANGLE,37900,トライアングル,,
MOTIF,38000,モチーフ,,
MEDUSA,38100,メデューサ,,
CAFTAN,38200,カフタン,,
CHAINED,38300,チェーン,,
HALTER,38400,ホルター,,
INTARSIA,38500,インターシャ,,
COLOR BLOCKED,38600,カラーブロック,,
MAKE-UP,38700,コスメ,,
TRIPLE,38800,トリプル,,
LACE,38900,レース,,
DAUPHINE,39000,,,
KNEES,39100,,,
ウェッジD,39200,ウェッジ,,
three-quarter,39300,3/4,,
BLOUSE,39400,ブラウス,,
クロコODILE,39500,クロコ,,
Track pant,39600,トラックパンツ,,
BUMBAG,39700,ウエストポーチ,,
MONOGRAMMED,39800,モノグラム,,
stitched,39900,ステッチ,,
Interlocking,40000,インターロッキング,,
Peplum,40100,ペプラム,,
Length,40200,レングス,,
Layered,40300,レイヤード,,
macramé,40400,マクラメ,,
カラーED,40500,カラー,,
Culottes,40600,キュロット,,
Tailored,40700,テーラード,,
brocade,40800,ブロケード,,
DAISY,40900,デイジー,,
POPPY,41000,ポピー,,
BOOタイ,41100,ブーティ,,
CHAIN,41200,チェーン,,
TUNIC,41300,チュニック,,
A-line,41400,Aライン,,
Jewelled,41500,ジュエル,,
bangle,41600,バングル,,
high waist,41700,ハイウエスト,,
Lapel,41800,ラペル,,
Boxy,41900,ボクシー,,
Side,42000,サイド,,
ミュールS,42100,ミュール,,
スリーブD,42200,スリーブ,,
Aviator,42300,アビエイター,,
Distressed,42400,ダメージ加工,,
military,42500,ミリタリー,,
TOE,42600,トゥー,,
Skinny,42700,スキニー,,
TIE-DYE,42800,タイダイ,,
JAGUAR,42900,ジャガー,,
CHINOS,43000,チノ,,
RUFFLE,43100,ラッフル,,
 UP,43200,アップ,,
TRAINERS,43300,スニーカー,,
DUFFLE,43400,ダッフル,,
BALLET,43500,バレエ,,
NECK,43600,ネック,,
ボタンED,43700,ボタン,,
asymmetric,43800,アシンメトリック,,
Block,43900,ブロック,,
Single breasted,44000,シングルブレスト,,
Flat,44100,フラット,,
Evening,44200,イブニング,,
Back,44300,バック,,
SHIFT,44400,シフト,,
Frill,44500,フリル,,
Layer,44600,レイヤー,,
Short,44700,ショート,,
HEM,44800,ヘム,,
BOW,44900,ボウ,,
Dinner,45000,ディナー,,
Boヘムe,45100,Boheme,,
PONCHO,45200,ポンチョ,,
Bootcut,45300,ブーツカット,,
Landsキャップe,45400,landscape,,
アニマルS,45500,アニマル,,
 and,45600,,,
Frame,45700,フレーム,,
Star,45800,スター,,
Fitted,45900,フィット,,
Slit,46000,スリット,,
SLING,46100,スリング,,
peaked,46200,ピークド,,
トートBag,46300,トートバッグ,,
クラッチBag,46400,クラッチバッグ,,
Tリブute,46500,Tribute,,
slippers,46600,スリッポン,,
チェーンS,46700,チェーン,,
loafer,46800,ローファー,,
OFF-,46900,オフ,,
SHOPPER,47000,ショッパー,,
Brogue,47100,ブローグ,,
Hoodie,47200,フーディー,,
Track,47300,トラック,,
billfold,47400,折り畳み,,
SLIM,47500,スリム,,
Tapered,47600,テーパード,,
bill fold,47700,折りたたみ,,
Formal,47800,フォーマル,,
casual,47900,カジュアル,,
tartan,48000,タータン,,
Sliders,48100,サンダル,,
three-piece,48200,3ピース,,
army,48300,アーミー,,
Sticker,48400,ステッカー,,
Satchel,48500,サッチェルバッグ,,
playスーツ,48600,プレイスーツ,,
LOW-TOP,48700,ローカット,,
bi-fold,48800,折りたたみ,,
Keyリング,48900,キーリング,,
cross-,49000,クロス,,
three piece,49100,3ピース,,
two piece,49200,2ピース,,
two-piece,49300,2ピース,,
-fit,49400,フィット,,
Crop,49500,クロップ,,
Purse,49600,財布,,
trench-,49700,トレンチ,,
Waist,49800,ウエスト,,
Flap,49900,フラップ,,
cross ,50000,クロス,,
バックルD,50100,バックル,,
ステッカーS,50200,ステッカー,,
ヘムS,50300,ヘム,,
コントラストED,50400,コントラスト,,
KEY リング,50500,キーリング,,
TANK,50600,タンク,,
Sneaker,50700,スニーカー,,
Parka,50800,パーカー,,
aラウンド,50900,アラウンド,,
boot,51000,ブーツ,,
レースD,51100,レース,,
ストラップpy,51200,ストラップ,,
Briefケース,51300,ブリーフケース,,
LAPTOP,51400,ラップトップ,,
ジップER,51500,ジッパー,,
Cardケース,51600,カードケース,,
KEYチェーン,51700,キーチェーン,,
ボストンER,51800,ボストン,,
STOLE,51900,ストール,,
ポケットS,52000,ポケット,,
PEAコート,52100,ピーコート,,
FELTED,52200,フェルト,,
*CM,52300,,,
フリンジS,52400,フリンジ,,
MELTON,52500,メルトン,,
ZEBRA,52600,ゼブラ,,
print,52700,プリント,,
Silver,52800,シルバー,,
mid-top,52900,,,
High-Top,53000,ハイカット,,
moccasins,53100,モカシン,,
attachﾃｩ,53200,アタッシュ,,
rucksack,53300,リュックサック,,
 IN,53400,　,,
